formula,A,B,C,X,Ra,Rb,Rc,RB,Rx,Tf,number
Li2KNbCl6,Li,K,Nb,Cl,1.159,1.388,0.724,1.056,1.806,12.502912361134147,1
Li2KNbBr6,Li,K,Nb,Br,1.159,1.388,0.724,1.056,1.955,12.644010845982631,1
Li2KNbI6,Li,K,Nb,I,1.159,1.388,0.724,1.056,2.194,12.870336603558389,1
Li2KMoF6,Li,K,Mo,F,1.159,1.388,0.691,1.0394999999999999,1.331,10.526538992038649,1
Li2KMoCl6,Li,K,Mo,Cl,1.159,1.388,0.691,1.0394999999999999,1.806,10.983489448989106,1
Li2KMoBr6,Li,K,Mo,Br,1.159,1.388,0.691,1.0394999999999999,1.955,11.126827592327249,1
Li2KMoI6,Li,K,Mo,I,1.159,1.388,0.691,1.0394999999999999,2.194,11.356745822245479,1
Li2KRuF6,Li,K,Ru,F,1.159,1.388,0.676,1.032,1.331,9.966384601258543,1
Li2KRuCl6,Li,K,Ru,Cl,1.159,1.388,0.676,1.032,1.806,10.426655919088,1
Li2KRuBr6,Li,K,Ru,Br,1.159,1.388,0.676,1.032,1.955,10.571035764049242,1
Li2KRuI6,Li,K,Ru,I,1.159,1.388,0.676,1.032,2.194,10.802624911336062,1
Li2KRhF6,Li,K,Rh,F,1.159,1.388,0.672,1.03,1.331,9.828288289167945,1
