B_Density,C_dipole Polarizability,C_atomic Radius,C_number,A_number of s+p Electrons,C_number of s+p Electrons,A-C_Density,(A+B+C)-X_dipole Polarizability,(A+B+C)-X_atomic Radius,(A+B+C)-X_number of Valence Electrons,A-C_number,A-B_Period,A-C_Electronegativity,A-C_number of s+p Electrons,A-C_number of d Electrons,(A+B+C)-X_number of d Electrons,A-C_Mulliken EN,target
0.971,208.0,1.85,60.0,2.0,2.0,5.286,862.4999999999999,2.0500000000000007,36.0,22.0,5.0,0.5,0.0,0.0,0.0,1.7399999999999998,0
0.971,43.0,1.45,51.0,2.0,5.0,4.966,659.0999999999999,0.7500000000000009,34.0,13.0,5.0,0.4099999999999999,3.0,10.0,10.0,0.0099999999999997,0
0.971,43.0,1.45,51.0,2.0,5.0,4.966,697.4999999999999,1.6500000000000004,34.0,13.0,5.0,0.4099999999999999,3.0,10.0,10.0,0.0099999999999997,0
0.971,43.0,1.45,51.0,2.0,5.0,4.966,762.6599999999999,4.65,34.0,13.0,5.0,0.4099999999999999,3.0,10.0,10.0,0.0099999999999997,0
0.971,170.0,1.75,65.0,2.0,2.0,6.506,824.4999999999999,1.95,36.0,27.0,5.0,0.4399999999999999,0.0,0.0,0.0,1.7399999999999998,0
0.971,50.0,1.9,81.0,2.0,3.0,10.176,666.0999999999999,1.2000000000000002,36.0,43.0,5.0,0.4000000000000001,1.0,10.0,10.0,1.6399999999999997,0
0.971,50.0,1.9,81.0,2.0,3.0,10.176,769.6599999999999,5.1,36.0,43.0,5.0,0.4000000000000001,1.0,10.0,10.0,1.6399999999999997,1
0.971,162.0,1.8,39.0,2.0,2.0,2.746,881.6599999999999,5.0,36.0,1.0,5.0,0.4199999999999999,0.0,1.0,1.0,1.65,0
6.77,55.0,1.6,47.0,2.0,1.0,8.776,724.4,0.9500000000000002,26.0,9.0,2.0,0.29,1.0,10.0,10.0,0.3999999999999994,0
6.77,55.0,1.6,47.0,2.0,1.0,8.776,762.8,1.85,26.0,9.0,2.0,0.29,1.0,10.0,10.0,0.3999999999999994,0
1.53,57.8,1.25,13.0,2.0,3.0,0.9760000000000002,869.4,2.0,36.0,25.0,3.0,0.0299999999999998,1.0,0.0,0.0,1.61,0
1.53,57.8,1.25,13.0,2.0,3.0,0.9760000000000002,759.6,0.3999999999999986,36.0,25.0,3.0,0.0299999999999998,1.0,0.0,60.0,1.61,0
1.53,48.0,1.6,83.0,2.0,5.0,8.086,821.2,1.4500000000000002,34.0,45.0,3.0,0.3800000000000001,3.0,10.0,10.0,0.1499999999999994,0
1.53,48.0,1.6,83.0,2.0,5.0,8.086,749.8000000000001,0.0499999999999989,34.0,45.0,3.0,0.3800000000000001,3.0,10.0,50.0,0.1499999999999994,0
1.53,55.0,1.35,27.0,2.0,2.0,7.135999999999999,931.76,5.1,30.0,11.0,3.0,0.24,0.0,7.0,7.0,0.54,0
1.53,50.0,1.3,31.0,2.0,3.0,4.186,926.76,5.050000000000001,36.0,7.0,3.0,0.1700000000000001,1.0,0.0,0.0,1.6399999999999997,0
1.53,65.0,1.55,49.0,2.0,3.0,5.585999999999999,838.2,1.4000000000000012,36.0,11.0,3.0,0.1400000000000001,1.0,10.0,10.0,1.7399999999999998,0
1.53,87.0,1.45,42.0,2.0,1.0,8.475999999999999,860.2,1.2999999999999998,33.0,4.0,3.0,0.5200000000000002,1.0,5.0,5.0,0.94,0
1.53,87.0,1.45,42.0,2.0,1.0,8.475999999999999,963.76,5.199999999999999,33.0,4.0,3.0,0.5200000000000002,1.0,5.0,5.0,0.94,0
1.53,87.0,1.45,42.0,2.0,1.0,8.475999999999999,788.8000000000001,0.1999999999999993,33.0,4.0,3.0,0.5200000000000002,1.0,5.0,55.0,0.94,0
1.53,208.0,1.85,60.0,2.0,2.0,5.286,981.2,1.7000000000000002,36.0,22.0,3.0,0.5,0.0,0.0,0.0,1.7399999999999998,0
1.53,216.0,1.85,59.0,2.0,2.0,5.045999999999999,989.2,1.7000000000000002,36.0,21.0,3.0,0.51,0.0,0.0,0.0,1.7399999999999998,0
1.53,216.0,1.85,59.0,2.0,2.0,5.045999999999999,1092.76,5.6,36.0,21.0,3.0,0.51,0.0,0.0,0.0,1.7399999999999998,0
1.53,144.0,1.75,69.0,2.0,2.0,7.596,955.6,2.5,36.0,31.0,3.0,0.3899999999999999,0.0,0.0,0.0,1.7399999999999998,0
2.99,55.0,1.6,47.0,2.0,1.0,8.776,534.0,0.7999999999999989,26.0,9.0,4.0,0.29,1.0,10.0,49.0,0.3999999999999994,0
